SYMBOL,CONCHAR,CONTRACT,DATABRON,DATUM,tickid,NUMTRAD,NUMCROS,VOL,OI,ALTCLS,RANGEMIN,TRADMIN,CODEZ,CODEM,CODEMTIJD,ZTIJD,BLOCKVOL,STARTTIJD,EINDTIJD,OIDATUM,VOLDATUM,HIGH,LOW,DAGVOL,HIGHEXTP,LOWEXTP,HIGHEXVP,LOWEXVP,HIGHEXTP20,LOWEXTP20,HIGHEXVP5,LOWEXVP5,OPEN,HOOG,LAAG,SLOT,TRADVOLMIN,LASTTRADE,INDEX,TCLOSE1,TCLOSE2,LASTACTM1,LASTACTM2,TCLOSE,FIRSTTIJD,STARTEIND,LASTM,LASTMTIJD,NOI,NVOL,OOI,OVOL,FEESTDAG,KSHAREOUT,TOPEN1,TOPEN2,TOPEN,BIDASKRANGE,FLINKRANGE,BIGRANGE,HIGHEXVPTIME,LOWEXVPTIME,HIGHEXTPTIME,LOWEXTPTIME,LASTACTM,LASTACTMTIJD,HOOGTIJD,LAAGTIJD,LIM,LIMC,BBID,BASK,KASPRIJS,KASTIJD,TIKBRON,OPM,APPL,ID,OPEN1,OPEN2,CLOSE1,CLOSE2,SETTLE,LIMPRC,conteindtijd,PRESTARTTIJD,fdatum,posthigh,postlow,prehigh,prelow
ES,INDEX,,,-7303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.66,16.66,16.66,16.66,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ES/INDEX,,,,,,,,,1950-01-03,,,,
ES,INDEX,,,-7302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.85,16.85,16.85,16.85,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ES/INDEX,,,,,,,,,1950-01-04,,,,
ES,INDEX,,,-7301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.93,16.93,16.93,16.93,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ES/INDEX,,,,,,,,,1950-01-05,,,,
ES,INDEX,,,-7300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.98,16.98,16.98,16.98,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ES/INDEX,,,,,,,,,1950-01-06,,,,
ES,INDEX,,,-7297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.08,17.08,17.08,17.08,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ES/INDEX,,,,,,,,,1950-01-09,,,,
ES,INDEX,,,-7296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.03,17.03,17.03,17.03,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ES/INDEX,,,,,,,,,1950-01-10,,,,
ES,INDEX,,,-7295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.09,17.09,17.09,17.09,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ES/INDEX,,,,,,,,,1950-01-11,,,,
ES,INDEX,,,-7294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.76,16.76,16.76,16.76,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ES/INDEX,,,,,,,,,1950-01-12,,,,
ES,INDEX,,,-7293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.67,16.67,16.67,16.67,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ES/INDEX,,,,,,,,,1950-01-13,,,,
ES,INDEX,,,-7290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.72,16.72,16.72,16.72,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ES/INDEX,,,,,,,,,1950-01-16,,,,
ES,INDEX,,,-7289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.86,16.86,16.86,16.86,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ES/INDEX,,,,,,,,,1950-01-17,,,,
ES,INDEX,,,-7288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.85,16.85,16.85,16.85,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ES/INDEX,,,,,,,,,1950-01-18,,,,
ES,INDEX,,,-7287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.87,16.87,16.87,16.87,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ES/INDEX,,,,,,,,,1950-01-19,,,,
ES,INDEX,,,-7286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.9,16.9,16.9,16.9,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ES/INDEX,,,,,,,,,1950-01-20,,,,
ES,INDEX,,,-7283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.92,16.92,16.92,16.92,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ES/INDEX,,,,,,,,,1950-01-23,,,,
ES,INDEX,,,-7282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.86,16.86,16.86,16.86,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ES/INDEX,,,,,,,,,1950-01-24,,,,
ES,INDEX,,,-7281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.74,16.74,16.74,16.74,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ES/INDEX,,,,,,,,,1950-01-25,,,,
ES,INDEX,,,-7280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.73,16.73,16.73,16.73,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ES/INDEX,,,,,,,,,1950-01-26,,,,
ES,INDEX,,,-7279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.82,16.82,16.82,16.82,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ES/INDEX,,,,,,,,,1950-01-27,,,,
ES,INDEX,,,-7276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.02,17.02,17.02,17.02,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ES/INDEX,,,,,,,,,1950-01-30,,,,
ES,INDEX,,,-7275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.05,17.05,17.05,17.05,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ES/INDEX,,,,,,,,,1950-01-31,,,,
ES,INDEX,,,-7274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.05,17.05,17.05,17.05,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ES/INDEX,,,,,,,,,1950-02-01,,,,
ES,INDEX,,,-7273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.23,17.23,17.23,17.23,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ES/INDEX,,,,,,,,,1950-02-02,,,,
ES,INDEX,,,-7272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.29,17.29,17.29,17.29,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ES/INDEX,,,,,,,,,1950-02-03,,,,
ES,INDEX,,,-7269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.32,17.32,17.32,17.32,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ES/INDEX,,,,,,,,,1950-02-06,,,,
ES,INDEX,,,-7268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.23,17.23,17.23,17.23,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ES/INDEX,,,,,,,,,1950-02-07,,,,
ES,INDEX,,,-7267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.21,17.21,17.21,17.21,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ES/INDEX,,,,,,,,,1950-02-08,,,,
ES,INDEX,,,-7266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.28,17.28,17.28,17.28,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ES/INDEX,,,,,,,,,1950-02-09,,,,
ES,INDEX,,,-7265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.24,17.24,17.24,17.24,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ES/INDEX,,,,,,,,,1950-02-10,,,,
ES,INDEX,,,-7261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.06,17.06,17.06,17.06,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ES/INDEX,,,,,,,,,1950-02-14,,,,
ES,INDEX,,,-7260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.06,17.06,17.06,17.06,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ES/INDEX,,,,,,,,,1950-02-15,,,,
ES,INDEX,,,-7259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.99,16.99,16.99,16.99,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ES/INDEX,,,,,,,,,1950-02-16,,,,
ES,INDEX,,,-7258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.15,17.15,17.15,17.15,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ES/INDEX,,,,,,,,,1950-02-17,,,,
ES,INDEX,,,-7255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.2,17.2,17.2,17.2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ES/INDEX,,,,,,,,,1950-02-20,,,,
ES,INDEX,,,-7254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.17,17.17,17.17,17.17,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ES/INDEX,,,,,,,,,1950-02-21,,,,
ES,INDEX,,,-7252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.21,17.21,17.21,17.21,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ES/INDEX,,,,,,,,,1950-02-23,,,,
ES,INDEX,,,-7251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.28,17.28,17.28,17.28,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ES/INDEX,,,,,,,,,1950-02-24,,,,
ES,INDEX,,,-7248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.28,17.28,17.28,17.28,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ES/INDEX,,,,,,,,,1950-02-27,,,,
ES,INDEX,,,-7247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.22,17.22,17.22,17.22,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ES/INDEX,,,,,,,,,1950-02-28,,,,
ES,INDEX,,,-7246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.24,17.24,17.24,17.24,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ES/INDEX,,,,,,,,,1950-03-01,,,,
ES,INDEX,,,-7245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.23,17.23,17.23,17.23,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ES/INDEX,,,,,,,,,1950-03-02,,,,
ES,INDEX,,,-7244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.29,17.29,17.29,17.29,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ES/INDEX,,,,,,,,,1950-03-03,,,,
ES,INDEX,,,-7241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.32,17.32,17.32,17.32,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ES/INDEX,,,,,,,,,1950-03-06,,,,
ES,INDEX,,,-7240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.2,17.2,17.2,17.2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ES/INDEX,,,,,,,,,1950-03-07,,,,
ES,INDEX,,,-7239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.19,17.19,17.19,17.19,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ES/INDEX,,,,,,,,,1950-03-08,,,,
ES,INDEX,,,-7238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.07,17.07,17.07,17.07,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ES/INDEX,,,,,,,,,1950-03-09,,,,
ES,INDEX,,,-7237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.09,17.09,17.09,17.09,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ES/INDEX,,,,,,,,,1950-03-10,,,,
ES,INDEX,,,-7234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.12,17.12,17.12,17.12,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ES/INDEX,,,,,,,,,1950-03-13,,,,
ES,INDEX,,,-7233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.25,17.25,17.25,17.25,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ES/INDEX,,,,,,,,,1950-03-14,,,,
ES,INDEX,,,-7232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.45,17.45,17.45,17.45,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ES/INDEX,,,,,,,,,1950-03-15,,,,
ES,INDEX,,,-7231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.49,17.49,17.49,17.49,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ES/INDEX,,,,,,,,,1950-03-16,,,,
ES,INDEX,,,-7230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.45,17.45,17.45,17.45,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ES/INDEX,,,,,,,,,1950-03-17,,,,
